id,piece_name,category,era_or_year,materials_gemstones,price_type,source_site,listing_url,first_price,current_price,min_price,max_price,first_seen,last_seen,times_seen,status,notes
url:www.1stdibs.com/jewelry/necklaces/pendant-necklaces/david-webb-coral-bead-white-enamel-diamond-necklace/id-j_23921102,"David Webb Coral Bead, White Enamel and Diamond Necklace",necklace,1970s,"18k yellow gold, platinum, round coral beads, round brilliant diamonds (~9.47 ct), tulip-tipped white enamel links",asking,1stdibs.com,https://www.1stdibs.com/jewelry/necklaces/pendant-necklaces/david-webb-coral-bead-white-enamel-diamond-necklace/id-j_23921102,215000,215000,215000,215000,2026-08-04,2026-08-05,2,active,Signed David Webb; classified as vintage 1970s American beaded necklace
meta:sothebys.com|coral and diamond choker necklace|hammer|140185,Coral and Diamond Choker Necklace,necklace,,"coral, diamonds",hammer,sothebys.com,,140185,140185,140185,140185,2026-08-05,2026-08-05,1,active,"Sold at Sotheby's for EUR 120,650 (~$140,185 USD), more than quadrupling its upper pre-sale estimate of EUR 25,000 (~$29,048). Reported by Rapaport."
url:www.1stdibs.com/creators/david-webb/jewelry/rings/band-rings,Platinum Eternity Band with Radiant Cut Diamonds,ring,late 1970s,"platinum, 12.92 carats radiant cut diamonds (GIA certified)",asking,1stdibs.com,https://www.1stdibs.com/creators/david-webb/jewelry/rings/band-rings/,115830,115830,115830,115830,2026-08-05,2026-08-05,1,active,"Top-priced band ring in the David Webb band ring category; every diamond GIA certified; range for band rings $4,200–$115,830"
url:www.1stdibs.com/jewelry/necklaces/link-necklaces/david-webb-turquoise-lapis-lazuli-diamond-necklace/id-j_26617312,"David Webb Turquoise, Lapis Lazuli, Diamond and White Enamel Collar Necklace",necklace,,"18k yellow gold, platinum, turquoise cabochons, lapis lazuli bars, white enamel links, round brilliant diamonds (~12.00 ct, F-G color, VS clarity)",asking,1stdibs.com,https://www.1stdibs.com/jewelry/necklaces/link-necklaces/david-webb-turquoise-lapis-lazuli-diamond-necklace/id-j_26617312,98000,98000,98000,98000,2026-08-05,2026-08-05,1,active,8 graduating white enamel links with oval cabochon turquoise halos; box clasp; 254 round diamonds total
url:www.1stdibs.com/jewelry/bracelets/bangles/david-webb-white-diamond-ruby-enamel-gold-platinum-zebra-bracelet/id-j_9229002,David Webb White Diamond Ruby Enamel Gold Platinum Zebra (Horse) Bracelet,bracelet,20th century,"18k gold, platinum, white enamel, ~4.00ctw GH/VS diamonds, ruby cabochon eyes",asking,1stdibs.com,https://www.1stdibs.com/jewelry/bracelets/bangles/david-webb-white-diamond-ruby-enamel-gold-platinum-zebra-bracelet/id-j_9229002,96800,96800,96800,96800,2026-08-05,2026-08-05,1,active,Animal Kingdom collection white horse bangle; comes with David Webb box; inside circumference 2.25 inches
url:www.1stdibs.com/jewelry/bracelets/bangles/david-webb-18k-yellow-gold-large-aquamarine-diamond-bangle-cuff-bracelet/id-j_13174842,David Webb 18K Yellow Gold Large Aquamarine and Diamond Bangle Cuff Bracelet,bracelet,20th century,"18k yellow gold, large aquamarine, diamonds",asking,1stdibs.com,https://www.1stdibs.com/jewelry/bracelets/bangles/david-webb-18k-yellow-gold-large-aquamarine-diamond-bangle-cuff-bracelet/id-j_13174842/,96000,96000,96000,96000,2026-08-05,2026-08-05,1,active,"List price shown as $96,000; bold gemset cuff bangle"
url:www.1stdibs.com/jewelry/brooches/brooches/david-webb-azurmalachite-ruby-diamond-maltese-cross-brooch/id-j_12438972,Maltese Cross Diamond Brooch Pendant,brooch,20th century,"18k yellow gold, platinum, pavé diamonds (~12.00 ct total), bezel-set center diamond (~1.20 ct)",asking,1stdibs.com,https://www.1stdibs.com/jewelry/brooches/brooches/david-webb-azurmalachite-ruby-diamond-maltese-cross-brooch/id-j_12438972,95000,95000,95000,95000,2026-08-04,2026-08-04,1,inactive,Hammered gold arms with high-relief sculptural form; signed WEBB; dual wear as brooch or pendant
url:www.1stdibs.com/jewelry/brooches/brooches/david-webb-maltese-cross-diamond-brooch/id-j_2192603,Maltese Cross Diamond Brooch/Pendant,brooch,,"18k yellow gold, platinum, diamonds (~12.00 ct pavé + ~1.20 ct center round brilliant)",asking,1stdibs.com,https://www.1stdibs.com/jewelry/brooches/brooches/david-webb-maltese-cross-diamond-brooch/id-j_2192603,95000,95000,95000,95000,2026-08-05,2026-08-05,1,active,"Bezel-set center diamond, hammered gold arms with pavé tiers. High-relief sculptural form. Signed Webb."
url:www.sothebys.com/en/auctions/ecatalogue/2014/magnificent-jewels-n09234/lot.53.html,"Group of 18K Gold, Platinum, Ruby and Diamond Jewelry",other,,"18k gold, platinum, rubies, diamonds",hammer,sothebys.com,http://www.sothebys.com/en/auctions/ecatalogue/2014/magnificent-jewels-n09234/lot.53.html,93750,93750,93750,93750,2026-08-04,2026-08-05,2,active,"Sold for $93,750 against a $30,000–$40,000 estimate at Sotheby's Magnificent Jewels sale. Multi-piece group lot."
url:www.sothebys.com/en/articles/artful-elegance-a-guide-to-collecting-iconic-david-webb-jewelry,"Gold, Enamel, Emerald and Diamond Tiger Head Bracelet",bracelet,,"18k gold, enamel, emeralds, diamonds",hammer,sothebys.com,https://www.sothebys.com/en/articles/artful-elegance-a-guide-to-collecting-iconic-david-webb-jewelry,700000,80000,50000,700000,2026-08-04,2026-08-05,2,active,"Sold for over $80,000 at Sotheby's in 2024 per Sotheby's article. Animal motif; iconic Webb tiger head design."
